Security Segment,Panel,CR,Gap Score,W0,W-1,W-2,W-3,W-4,W-5,M0,M-1,M-2,M-3,M-4,M-5,Q0,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-7
,Panel 5,0.98,1.8%,-8.6%,-3.7%,-1.1%,7.0%,3.4%,-13.7%,-8.3%,2.7%,-6.7%,1.2%,3.0%,-0.7%,-8.3%,-1.1%,0.7%,1.8%,1.5%,1.5%,2.9%,-2.8%
,Panel 1,,1.7%,-13.0%,-4.3%,-3.4%,4.6%,-6.5%,-15.7%,-13.4%,-0.9%,-6.1%,-2.1%,1.1%,-3.4%,-13.4%,-3.4%,-1.7%,-3.9%,1.2%,-1.9%,-0.1%,-3.8%
,Panel 5,,1.8%,-8.6%,-3.7%,-1.1%,7.0%,3.4%,-13.7%,-8.3%,2.7%,-6.7%,1.2%,3.0%,-0.7%,-8.3%,-1.1%,0.7%,1.8%,1.5%,1.5%,2.9%,-2.8%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 3,1.25,2.5%,-5.5%,-3.8%,-11.0%,-6.0%,-9.1%,-0.5%,-7.2%,-4.6%,-7.0%,-5.1%,-2.4%,-3.7%,-5.5%,-6.4%,-3.9%,-4.1%,0.3%,5.8%,2.8%,0.8%
,Panel 5,1.87,0.8%,-8.3%,0.0%,-1.9%,-5.4%,-6.0%,-9.5%,-4.0%,-3.1%,-5.5%,-5.4%,0.0%,-3.7%,-8.3%,-4.1%,-3.2%,-3.5%,1.9%,3.1%,1.9%,0.5%
,Panel 1,,0.2%,-7.5%,-10.6%,3.8%,-2.2%,-17.2%,4.0%,-7.1%,-2.4%,-1.8%,-4.9%,-1.5%,-4.8%,-7.5%,-3.9%,-4.1%,-1.8%,3.3%,9.0%,2.1%,-2.7%
,Panel 5,,1.4%,-10.3%,-1.5%,-4.5%,-2.9%,-6.5%,-10.3%,-4.7%,-3.7%,-6.3%,-5.6%,-0.3%,-3.2%,-10.3%,-4.7%,-3.3%,-3.2%,1.9%,3.8%,2.0%,0.5%
,Panel 5,,16.3%,-47.3%,56.1%,27.2%,-61.3%,1.0%,-27.5%,-17.9%,16.0%,-3.2%,59.2%,-22.3%,-6.0%,-47.3%,0.1%,16.4%,-6.1%,15.7%,-12.2%,-13.0%,3.8%
,Panel 5,,4.1%,16.5%,3.9%,30.3%,-28.3%,-3.8%,-9.9%,0.6%,-2.7%,-5.9%,-6.4%,-4.2%,-10.2%,16.5%,-3.4%,-7.5%,-10.1%,-2.8%,-2.6%,1.2%,-2.8%
